,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,Species,Family,Order
386,387,Spectrogram 1,1,193.0,193.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171224807_06000_1.wav,,,passerine
387,388,Spectrogram 1,1,193.5,194.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171375792_06947_1.wav,,warbler,passerine
388,389,Spectrogram 1,1,194.0,194.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171515736_02763_1.wav,,,passerine
389,390,Spectrogram 1,1,194.5,195.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171590184_06947_1.wav,,,passerine
390,391,Spectrogram 1,1,195.0,195.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171655344_07026_1.wav,,,passerine
391,392,Spectrogram 1,1,195.5,196.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_171685727_02684_1.wav,swth,thrush,passerine
392,393,Spectrogram 1,1,196.0,196.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172099440_02526_1.wav,swth,thrush,passerine
393,394,Spectrogram 1,1,196.5,197.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172298496_06474_1.wav,,,passerine
394,395,Spectrogram 1,1,197.0,197.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172443600_02684_1.wav,,,passerine
395,396,Spectrogram 1,1,197.5,198.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172631328_02763_1.wav,,,passerine
396,397,Spectrogram 1,1,198.0,198.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172745807_02526_1.wav,swth,thrush,passerine
397,398,Spectrogram 1,1,198.5,199.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172797984_03000_1.wav,swth,thrush,passerine
398,399,Spectrogram 1,1,199.0,199.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_172952400_02526_1.wav,,,passerine
399,400,Spectrogram 1,1,199.5,200.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_173639592_06395_1.wav,,warbler,passerine
400,401,Spectrogram 1,1,200.0,200.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_173806776_06947_1.wav,,warbler,passerine
401,402,Spectrogram 1,1,200.5,201.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_173874887_07105_1.wav,,warbler,passerine
402,403,Spectrogram 1,1,201.0,201.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_174056328_06868_1.wav,,warbler,passerine
403,404,Spectrogram 1,1,201.5,202.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_174073680_06553_1.wav,,,passerine
404,405,Spectrogram 1,1,202.0,202.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_174155736_02842_1.wav,,,passerine
405,406,Spectrogram 1,1,202.5,203.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_174164928_06947_1.wav,,warbler,passerine
406,407,Spectrogram 1,1,203.0,203.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_174372144_06632_1.wav,,,passerine
407,408,Spectrogram 1,1,203.5,204.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_175103544_02921_1.wav,,,passerine
408,409,Spectrogram 1,1,204.0,204.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_175235592_02842_1.wav,,thrush,passerine
409,410,Spectrogram 1,1,204.5,205.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_175882176_06474_1.wav,bbwa,warbler,passerine
410,411,Spectrogram 1,1,205.0,205.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_175993296_06237_1.wav,bbwa,warbler,passerine
411,412,Spectrogram 1,1,205.5,206.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176225208_06790_1.wav,,,passerine
412,413,Spectrogram 1,1,206.0,206.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176403816_06710_1.wav,,,passerine
413,414,Spectrogram 1,1,206.5,207.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176475120_06474_1.wav,,,passerine
414,415,Spectrogram 1,1,207.0,207.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176583096_06947_1.wav,,warbler,passerine
415,416,Spectrogram 1,1,207.5,208.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176604647_06632_1.wav,,,passerine
416,417,Spectrogram 1,1,208.0,208.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176644392_06790_1.wav,,warbler,passerine
417,418,Spectrogram 1,1,208.5,209.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176671512_06671_1.wav,,warbler,passerine
418,419,Spectrogram 1,1,209.0,209.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176733192_02842_1.wav,,,passerine
419,420,Spectrogram 1,1,209.5,210.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176741952_06947_1.wav,,warbler,passerine
420,421,Spectrogram 1,1,210.0,210.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176806752_02842_1.wav,,,passerine
421,422,Spectrogram 1,1,210.5,211.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_176957208_02605_1.wav,,,passerine
422,423,Spectrogram 1,1,211.0,211.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_178887432_07500_1.wav,swsp,sparrow,passerine
423,424,Spectrogram 1,1,211.5,212.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_178929552_02605_1.wav,swth,thrush,passerine
424,425,Spectrogram 1,1,212.0,212.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_178941216_06632_1.wav,coye,warbler,passerine
425,426,Spectrogram 1,1,212.5,213.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_178944528_06395_1.wav,coye,warbler,passerine
426,427,Spectrogram 1,1,213.0,213.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179022192_06000_1.wav,,,passerine
427,428,Spectrogram 1,1,213.5,214.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179063088_06868_1.wav,coye,warbler,passerine
428,429,Spectrogram 1,1,214.0,214.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179137176_07500_1.wav,nowa,warbler,passerine
429,430,Spectrogram 1,1,214.5,215.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179220192_06395_1.wav,,warbler,passerine
430,431,Spectrogram 1,1,215.0,215.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179285520_07737_1.wav,,warbler,passerine
431,432,Spectrogram 1,1,215.5,216.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179334384_06868_1.wav,,warbler,passerine
432,433,Spectrogram 1,1,216.0,216.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_179462952_06237_1.wav,,warbler,passerine
433,434,Spectrogram 1,1,216.5,217.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180035784_07105_1.wav,,,passerine
434,435,Spectrogram 1,1,217.0,217.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180165480_02684_1.wav,,,passerine
435,436,Spectrogram 1,1,217.5,218.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180499632_02921_1.wav,,,passerine
436,437,Spectrogram 1,1,218.0,218.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180618384_06000_1.wav,,,passerine
437,438,Spectrogram 1,1,218.5,219.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180668568_02842_1.wav,swth,thrush,passerine
438,439,Spectrogram 1,1,219.0,219.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_180670248_07895_1.wav,,sparrow,passerine
439,440,Spectrogram 1,1,219.5,220.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181012056_02684_1.wav,swth,thrush,passerine
440,441,Spectrogram 1,1,220.0,220.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181070976_02763_1.wav,,,passerine
441,442,Spectrogram 1,1,220.5,221.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181346928_06790_1.wav,,,passerine
442,443,Spectrogram 1,1,221.0,221.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181372416_02605_1.wav,swth,thrush,passerine
443,444,Spectrogram 1,1,221.5,222.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181459704_03237_1.wav,,,passerine
444,445,Spectrogram 1,1,222.0,222.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181617600_02368_1.wav,swth,thrush,passerine
445,446,Spectrogram 1,1,222.5,223.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181680120_06632_1.wav,,,passerine
446,447,Spectrogram 1,1,223.0,223.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181704647_07184_1.wav,,,passerine
447,448,Spectrogram 1,1,223.5,224.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181826736_02684_1.wav,swth,thrush,passerine
448,449,Spectrogram 1,1,224.0,224.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_181858776_06790_1.wav,nopa,warbler,passerine
449,450,Spectrogram 1,1,224.5,225.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182241936_06316_1.wav,,,passerine
450,451,Spectrogram 1,1,225.0,225.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182250936_02842_1.wav,,,passerine
451,452,Spectrogram 1,1,225.5,226.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182466816_06474_1.wav,,,passerine
452,453,Spectrogram 1,1,226.0,226.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182491344_03158_1.wav,,,passerine
453,454,Spectrogram 1,1,226.5,227.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182615520_02447_1.wav,,,passerine
454,455,Spectrogram 1,1,227.0,227.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182741904_02763_1.wav,woth,thrush,passerine
455,456,Spectrogram 1,1,227.5,228.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182811864_03000_1.wav,rbgr,cardinal,passerine
456,457,Spectrogram 1,1,228.0,228.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_182875704_02605_1.wav,,,passerine
457,458,Spectrogram 1,1,228.5,229.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183040320_02605_1.wav,,,passerine
458,459,Spectrogram 1,1,229.0,229.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183227304_02763_1.wav,woth,thrush,passerine
459,460,Spectrogram 1,1,229.5,230.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183695304_03079_1.wav,,,passerine
460,461,Spectrogram 1,1,230.0,230.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183819744_02842_1.wav,rbgr,cardinal,passerine
461,462,Spectrogram 1,1,230.5,231.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183894360_02921_1.wav,,,passerine
462,463,Spectrogram 1,1,231.0,231.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183921936_07816_1.wav,,warbler,passerine
463,464,Spectrogram 1,1,231.5,232.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_183942432_02605_1.wav,,,passerine
464,465,Spectrogram 1,1,232.0,232.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_184071336_02526_1.wav,,,passerine
465,466,Spectrogram 1,1,232.5,233.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_184609560_03316_1.wav,,,passerine
466,467,Spectrogram 1,1,233.0,233.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_185587320_06710_1.wav,,,passerine
467,468,Spectrogram 1,1,233.5,234.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_185865360_02605_1.wav,,,passerine
468,469,Spectrogram 1,1,234.0,234.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_185881296_06868_1.wav,,,passerine
469,470,Spectrogram 1,1,234.5,235.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_186735576_02684_1.wav,,,passerine
470,471,Spectrogram 1,1,235.0,235.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_186848807_03000_1.wav,swth,thrush,passerine
471,472,Spectrogram 1,1,235.5,236.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_188117736_06079_1.wav,,warbler,passerine
472,473,Spectrogram 1,1,236.0,236.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_188508408_07105_1.wav,,warbler,passerine
473,474,Spectrogram 1,1,236.5,237.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_188604744_06790_1.wav,,warbler,passerine
474,475,Spectrogram 1,1,237.0,237.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_188747664_07105_1.wav,,warbler,passerine
475,476,Spectrogram 1,1,237.5,238.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_189083352_06868_1.wav,,warbler,passerine
476,477,Spectrogram 1,1,238.0,238.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_189564456_06947_1.wav,,,passerine
477,478,Spectrogram 1,1,238.5,239.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_189785856_06237_1.wav,cswa,warbler,passerine
478,479,Spectrogram 1,1,239.0,239.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_189923616_06158_1.wav,,,passerine
479,480,Spectrogram 1,1,239.5,240.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190023792_06474_1.wav,,,passerine
480,481,Spectrogram 1,1,240.0,240.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190047096_06790_1.wav,nopa,warbler,passerine
481,482,Spectrogram 1,1,240.5,241.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190159272_05921_1.wav,,,passerine
482,483,Spectrogram 1,1,241.0,241.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190227144_07658_1.wav,,,passerine
483,484,Spectrogram 1,1,241.5,242.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190672704_07263_1.wav,savs,sparrow,passerine
484,485,Spectrogram 1,1,242.0,242.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_190734960_06947_1.wav,,,passerine
485,486,Spectrogram 1,1,242.5,243.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191213040_02921_1.wav,,,passerine
486,487,Spectrogram 1,1,243.0,243.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191317344_02605_1.wav,,thrush,passerine
487,488,Spectrogram 1,1,243.5,244.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191419727_03710_1.wav,,thrush,passerine
488,489,Spectrogram 1,1,244.0,244.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191508600_02921_1.wav,,,passerine
489,490,Spectrogram 1,1,244.5,245.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191510184_06710_1.wav,,,passerine
490,491,Spectrogram 1,1,245.0,245.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191550456_07263_1.wav,,,passerine
491,492,Spectrogram 1,1,245.5,246.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191833080_03079_1.wav,,,passerine
492,493,Spectrogram 1,1,246.0,246.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_191928168_06553_1.wav,,,passerine
493,494,Spectrogram 1,1,246.5,247.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192117480_06710_1.wav,,,passerine
494,495,Spectrogram 1,1,247.0,247.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192266112_06632_1.wav,,warbler,passerine
495,496,Spectrogram 1,1,247.5,248.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192488280_06474_1.wav,,warbler,passerine
496,497,Spectrogram 1,1,248.0,248.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192511488_07421_1.wav,,warbler,passerine
497,498,Spectrogram 1,1,248.5,249.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192783576_05842_1.wav,nopa,warbler,passerine
498,499,Spectrogram 1,1,249.0,249.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192842712_02447_1.wav,swth,thrush,passerine
499,500,Spectrogram 1,1,249.5,250.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_192972048_03237_1.wav,,,passerine
500,501,Spectrogram 1,1,250.0,250.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_193071528_02605_1.wav,,,passerine
501,502,Spectrogram 1,1,250.5,251.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_193164720_06474_1.wav,,,passerine
502,503,Spectrogram 1,1,251.0,251.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_193223904_06790_1.wav,,,passerine
503,504,Spectrogram 1,1,251.5,252.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194261136_02605_1.wav,swth,thrush,passerine
504,505,Spectrogram 1,1,252.0,252.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194484456_03079_1.wav,swth,thrush,passerine
505,506,Spectrogram 1,1,252.5,253.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194616216_02842_1.wav,swth,thrush,passerine
506,507,Spectrogram 1,1,253.0,253.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194757120_02763_1.wav,,thrush,passerine
507,508,Spectrogram 1,1,253.5,254.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194869584_02684_1.wav,swth,thrush,passerine
508,509,Spectrogram 1,1,254.0,254.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_194979144_02605_1.wav,swth,thrush,passerine
509,510,Spectrogram 1,1,254.5,255.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195175392_03000_1.wav,swth,thrush,passerine
510,511,Spectrogram 1,1,255.0,255.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195331272_02368_1.wav,swth,thrush,passerine
511,512,Spectrogram 1,1,255.5,256.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195351767_02763_1.wav,swth,thrush,passerine
512,513,Spectrogram 1,1,256.0,256.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195590063_03158_1.wav,,thrush,passerine
513,514,Spectrogram 1,1,256.5,257.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195812496_02132_1.wav,swth,thrush,passerine
514,515,Spectrogram 1,1,257.0,257.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_195870360_02763_1.wav,,,passerine
515,516,Spectrogram 1,1,257.5,258.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196160232_02763_1.wav,,,passerine
516,517,Spectrogram 1,1,258.0,258.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196166807_02605_1.wav,,,passerine
517,518,Spectrogram 1,1,258.5,259.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196507992_02921_1.wav,swth,thrush,passerine
518,519,Spectrogram 1,1,259.0,259.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196585152_03000_1.wav,,,passerine
519,520,Spectrogram 1,1,259.5,260.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196661160_02763_1.wav,woth,thrush,passerine
520,521,Spectrogram 1,1,260.0,260.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196733760_02210_1.wav,swth,thrush,passerine
521,522,Spectrogram 1,1,260.5,261.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_196819847_02763_1.wav,,,passerine
522,523,Spectrogram 1,1,261.0,261.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197137296_03079_1.wav,,,passerine
523,524,Spectrogram 1,1,261.5,262.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197139480_02763_1.wav,,,passerine
524,525,Spectrogram 1,1,262.0,262.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197194823_03079_1.wav,woth,thrush,passerine
525,526,Spectrogram 1,1,262.5,263.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197352983_02526_1.wav,,,passerine
526,527,Spectrogram 1,1,263.0,263.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197371896_02447_1.wav,,,passerine
527,528,Spectrogram 1,1,263.5,264.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197449847_02684_1.wav,,,passerine
528,529,Spectrogram 1,1,264.0,264.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197462376_02763_1.wav,,,passerine
529,530,Spectrogram 1,1,264.5,265.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197529096_03237_1.wav,,,passerine
530,531,Spectrogram 1,1,265.0,265.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197676672_02290_1.wav,swth,thrush,passerine
531,532,Spectrogram 1,1,265.5,266.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197714063_02842_1.wav,swth,thrush,passerine
532,533,Spectrogram 1,1,266.0,266.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197732616_02210_1.wav,swth,thrush,passerine
533,534,Spectrogram 1,1,266.5,267.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197779392_03158_1.wav,,,passerine
534,535,Spectrogram 1,1,267.0,267.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197796119_05526_1.wav,,,passerine
535,536,Spectrogram 1,1,267.5,268.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197811792_06947_1.wav,,warbler,passerine
536,537,Spectrogram 1,1,268.0,268.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197816520_03000_1.wav,swth,thrush,passerine
537,538,Spectrogram 1,1,268.5,269.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197899008_02921_1.wav,,,passerine
538,539,Spectrogram 1,1,269.0,269.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197916624_02605_1.wav,,,passerine
539,540,Spectrogram 1,1,269.5,270.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197925816_02447_1.wav,swth,thrush,passerine
540,541,Spectrogram 1,1,270.0,270.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_197993063_02763_1.wav,,,passerine
541,542,Spectrogram 1,1,270.5,271.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_198193272_02210_1.wav,,,passerine
542,543,Spectrogram 1,1,271.0,271.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_198718440_02763_1.wav,,,passerine
543,544,Spectrogram 1,1,271.5,272.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_198818256_02447_1.wav,swth,thrush,passerine
544,545,Spectrogram 1,1,272.0,272.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_199047360_03237_1.wav,,,passerine
545,546,Spectrogram 1,1,272.5,273.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_199593576_07026_1.wav,,,passerine
546,547,Spectrogram 1,1,273.0,273.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_199696560_02605_1.wav,,,passerine
547,548,Spectrogram 1,1,273.5,274.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_200157792_03000_1.wav,,,passerine
548,549,Spectrogram 1,1,274.0,274.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201004199_02684_1.wav,,,passerine
549,550,Spectrogram 1,1,274.5,275.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201129144_03158_1.wav,woth,thrush,passerine
550,551,Spectrogram 1,1,275.0,275.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201328464_06790_1.wav,,warbler,passerine
551,552,Spectrogram 1,1,275.5,276.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201359832_02526_1.wav,,,passerine
552,553,Spectrogram 1,1,276.0,276.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201373920_03079_1.wav,,,passerine
553,554,Spectrogram 1,1,276.5,277.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201399576_06553_1.wav,,warbler,passerine
554,555,Spectrogram 1,1,277.0,277.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_201405527_07658_1.wav,,warbler,passerine
